word, pTrump, act1, act2, act3
"Absentee",0.80,-0.08,-0.11,-0.12
"Governor",0.88,0.10,-0.02,0.11
"Kasich",0.93,0.39,0.19,0.45
"voted",0.87,0.12,-0.10,0.11
"for",0.88,0.15,-0.14,0.20
"NAFTA",0.93,0.34,0.09,0.45
"and",0.92,0.27,-0.08,0.38
"NAFTA",0.94,0.44,0.15,0.58
"devastated",0.95,0.53,0.24,0.64
"Ohio",0.95,0.56,0.23,0.65
"-",0.95,0.66,0.17,0.75
"a",0.95,0.55,0.04,0.64
"disaster",0.95,0.67,0.26,0.80
"from",0.95,0.49,0.02,0.55
"which",0.94,0.49,0.10,0.59
"it",0.93,0.38,-0.03,0.47
"never",0.94,0.43,0.09,0.54
"recovered",0.93,0.35,0.01,0.42
".",0.92,0.31,-0.08,0.42
"Kasich",0.94,0.53,0.19,0.67
"is",0.95,0.53,0.19,0.65
"good",0.94,0.40,0.06,0.49
"for",0.93,0.41,0.00,0.53
"Mexico",0.93,0.35,0.01,0.47
"!",0.95,0.61,0.42,0.74
